#Date:2020-09-02 17:20:06
#Class:methylRawDB
#DT:tabix
#SI:WM32_regions
#AS:hg19
#CT:CpG
#RS:region
#NR:31449
#DT:tabix
chr1	133125	135124	*	432	260	172
chr1	135564	137563	*	375	206	169
chr1	711985	713984	*	166	128	38
chr1	714548	716547	*	418	138	280
chr1	837695	839694	*	1299	1033	266
chr1	840620	844299	*	1522	357	1165
chr1	845884	847883	*	912	297	615
chr1	852766	854765	*	1319	547	771
chr1	854974	858970	*	2065	94	1971
chr1	861633	863632	*	165	98	67
chr1	867333	869332	*	1651	529	1122
chr1	871873	875730	*	4819	1521	3296
chr1	878364	880363	*	2212	829	1382
chr1	884357	886356	*	490	445	45
chr1	886603	888602	*	906	830	76
chr1	892314	894313	*	356	0	356
chr1	902655	906296	*	816	149	667
chr1	906539	908538	*	2026	1027	999
chr1	910870	912869	*	2722	149	2573
chr1	913154	915153	*	4001	2487	1514
chr1	917727	919726	*	1627	956	670
chr1	919928	921927	*	997	542	455
chr1	931388	933387	*	1006	217	789
chr1	937411	939410	*	206	72	134
chr1	946671	948670	*	361	127	234
chr1	949852	951851	*	2552	1825	727
chr1	952769	954768	*	929	681	248
chr1	956344	958343	*	824	49	775
chr1	961796	963795	*	427	73	354
chr1	964508	967966	*	40	5	35
chr1	970239	972238	*	249	38	211
chr1	973497	975496	*	98	0	98
chr1	980306	981068	*	747	459	288
chr1	981401	982152	*	184	138	46
chr1	982512	983174	*	1104	751	353
chr1	983613	984206	*	1319	947	372
chr1	984430	986429	*	5816	2605	3205
chr1	988275	990274	*	1790	1015	775
chr1	990695	994436	*	1299	893	406
chr1	995304	997303	*	2510	1351	1159
chr1	997679	999678	*	2228	92	2136
chr1	999912	1002663	*	642	329	313
chr1	1005319	1007318	*	1047	431	616
chr1	1009510	1011509	*	692	352	340
chr1	1013403	1016863	*	906	62	839
chr1	1017440	1018099	*	1085	848	237
chr1	1018391	1019818	*	3488	2554	933
chr1	1020027	1023143	*	6036	4019	2012
chr1	1023348	1024075	*	778	581	197
chr1	1024615	1026377	*	427	336	91
chr1	1026626	1027509	*	15	15	0
chr1	1027731	1029730	*	729	407	322
chr1	1044045	1046044	*	161	142	19
chr1	1046341	1048340	*	553	519	34
chr1	1050831	1051178	*	340	1	339
chr1	1052446	1054445	*	756	181	575
chr1	1070370	1072369	*	2193	709	1484
chr1	1072848	1074847	*	881	317	564
chr1	1091212	1093211	*	1291	799	491
chr1	1093477	1095476	*	1795	536	1259
chr1	1096044	1098043	*	2227	802	1424
chr1	1100585	1102584	*	2699	1542	1157
chr1	1107315	1109314	*	2323	219	2102
chr1	1110146	1112145	*	1235	919	313
chr1	1113575	1115574	*	2870	1054	1816
chr1	1116007	1118006	*	980	524	456
chr1	1133219	1136360	*	1150	778	371
chr1	1137157	1139156	*	609	273	336
chr1	1139671	1141670	*	2110	661	1448
chr1	1142151	1145568	*	4140	318	3822
chr1	1145879	1146708	*	110	81	29
chr1	1146915	1149055	*	3207	686	2519
chr1	1149525	1152522	*	124	81	43
chr1	1153135	1153784	*	228	194	34
chr1	1154420	1156419	*	2855	2514	341
chr1	1157169	1159168	*	1921	1745	176
chr1	1159529	1161959	*	902	833	68
chr1	1162282	1163502	*	537	527	10
chr1	1163896	1167001	*	1051	836	213
chr1	1168986	1170985	*	1208	1021	187
chr1	1171916	1173915	*	3475	396	3076
chr1	1174264	1177885	*	5338	2551	2787
chr1	1178208	1181756	*	7255	5557	1697
chr1	1182471	1184470	*	1666	859	807
chr1	1187397	1189396	*	1087	996	91
chr1	1190800	1192799	*	159	147	12
chr1	1201167	1203166	*	495	465	30
chr1	1203598	1205597	*	24	24	0
chr1	1206516	1208515	*	1159	389	770
chr1	1209943	1211942	*	217	212	5
chr1	1226781	1228780	*	2459	624	1835
chr1	1230164	1232163	*	2212	1772	440
chr1	1240401	1242400	*	448	20	428
chr1	1245186	1247918	*	1091	589	501
chr1	1248494	1250493	*	1988	1456	532
chr1	1254549	1256548	*	1483	1365	118
chr1	1257644	1259643	*	344	313	31
chr1	1260636	1262665	*	271	8	263
chr1	1263421	1265206	*	848	400	448
chr1	1265430	1267085	*	594	49	545
chr1	1267287	1267435	*	56	8	48
chr1	1268987	1271425	*	3118	2343	774
chr1	1272075	1272377	*	696	457	239
chr1	1272635	1274634	*	3629	2818	808
chr1	1281934	1283933	*	1512	665	846
chr1	1285346	1287345	*	1098	436	662
chr1	1287708	1289707	*	1327	27	1300
chr1	1291127	1293126	*	1103	767	336
chr1	1307141	1309140	*	1732	666	1066
chr1	1311040	1313039	*	180	134	46
chr1	1320645	1322644	*	1049	995	54
chr1	1322925	1324924	*	670	635	35
chr1	1332072	1334071	*	792	164	628
chr1	1335603	1337602	*	12	0	12
chr1	1340005	1342004	*	2012	741	1271
chr1	1342953	1344952	*	2210	349	1861
chr1	1353160	1355159	*	527	437	89
chr1	1356001	1358000	*	358	103	255
chr1	1359561	1361560	*	202	50	152
chr1	1361788	1362954	*	529	7	522
chr1	1363300	1365299	*	2326	1712	613
chr1	1368768	1370767	*	2002	78	1924
chr1	1371450	1374461	*	2873	701	2171
chr1	1375585	1377584	*	1247	518	729
chr1	1387556	1389555	*	934	605	329
chr1	1389890	1391889	*	2706	1832	873
chr1	1394086	1396085	*	1887	490	1396
chr1	1396339	1398338	*	1843	993	848
chr1	1404845	1406844	*	29	1	28
chr1	1407822	1409821	*	458	404	54
chr1	1412035	1414034	*	869	842	27
chr1	1414533	1417285	*	377	363	14
chr1	1417754	1420226	*	87	66	21
chr1	1420685	1422684	*	2756	2529	227
chr1	1442589	1444588	*	299	120	179
chr1	1444850	1446878	*	202	186	16
chr1	1448206	1450205	*	1083	1005	78
chr1	1450702	1452701	*	800	743	56
chr1	1453200	1455302	*	212	199	13
chr1	1455893	1456829	*	196	196	0
chr1	1457075	1457954	*	397	362	35
chr1	1459030	1461029	*	695	635	60
chr1	1462509	1464508	*	2268	2182	86
chr1	1464807	1466806	*	246	244	2
chr1	1468605	1470604	*	643	207	436
chr1	1471451	1473107	*	984	731	253
chr1	1473343	1474962	*	285	203	82
chr1	1475221	1476093	*	7866	80	7784
chr1	1476670	1478669	*	748	632	116
chr1	1487533	1489532	*	1234	866	367
chr1	1489795	1491794	*	1635	1352	283
chr1	1494762	1496761	*	111	111	0
chr1	1496987	1498986	*	268	253	15
chr1	1510748	1512747	*	530	100	430
chr1	1532332	1534331	*	2474	1949	525
